sportnik,drzava,kvota
Daniel Pedrosa,ESP/Honda,8.00
Andrea Iannone,ITA/Ducati,29.00
Andrea Dovizioso,ITA/Ducati,34.00
Bradley Smith,GBR/Yamaha,51.00
Tito Rabat,ESP/Honda,51.00
Aleix Espargaro,ESP/Suzuki,67.00
Pol Espargaro,ESP/Yamaha,67.00
Scott Redding,GBR/Ducati,81.00
Maverick Vinales,ESP/Suzuki,81.00
Cal Crutchlow,GBR/Honda,101.00
Jack Miller,AUS/Honda,201.00
Stefan Bradl,GER/Aprilia,301.00
Loris Baz,FRA/Ducati,301.00
Alvaro Bautista,ESP/Aprilia,301.00
Danilo Petrucci,ITA/Ducati,301.00
Yonny Hernandez,COL/Ducati,751.00
Hector Barbera,ESP/Ducati,1001.00
Eugene Laverty,IRL/Ducati,1001.00
Alex de Angelis,RSM/ART,1001.00
